source	translated	reference
A man in an orange hat starring at something.	Một người đàn ông trong một ngôi sao màu vàng ở một cái gì đó.	Một người đàn ông đội mũ màu cam đang nhìn chằm chằm vào thứ gì đó.
A Boston Terrier is running on lush green grass in front of a white fence.	Một nhà sản xuất Boston đang chạy trên bãi cỏ xanh phía trước hàng rào trắng.	Một chú chó Boston Terrier đang chạy trên bãi cỏ xanh tươi trước hàng rào màu trắng.
A girl in karate uniform breaking a stick with a front kick.	Một cô gái mặc quân phục mặc đồng phục mặc đồng phục mặc áo bó với một cú đá trước.	Một cô gái mặc võ phục karate đang bẻ gãy một cây gậy bằng cú đá trước.
Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.	Năm người mặc áo khoác mùa đông và đội mũ bảo hộ đứng trên tuyết, với tuyết trượt tuyết ở phía sau.	Năm người mặc áo khoác mùa đông và mũ bảo hiểm đứng trên tuyết, phía sau là xe trượt tuyết.
People are fixing the roof of a house.	Mọi người đang sửa mái nhà.	Mọi người đang sửa mái nhà.
A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.	Một người đàn ông mặc quần áo màu sáng chụp hình một nhóm đàn ông mặc áo khoác đen và đội mũ trùm đầu một phụ nữ mặc áo choàng bó.	Một người đàn ông mặc quần áo sáng màu đang chụp ảnh một nhóm đàn ông mặc vest tối màu và đội mũ đứng xung quanh một người phụ nữ mặc váy hở vai.
A group of people standing in front of an igloo.	Một nhóm người đứng trước một iloo.	Một nhóm người đang đứng trước một túp lều tuyết.
A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.	Một chàng trai mặc đồng phục màu đỏ đang cố tránh ra ngoài trong khi người mặc đồng phục mặc đồng phục đang cố bắt anh ta.	Một cậu bé mặc đồng phục màu đỏ đang cố gắng tránh ra khỏi đĩa nhà, trong khi người bắt bóng mặc đồng phục màu xanh đang cố gắng bắt cậu bé.
A guy works on a building.	Một gã làm ở tòa nhà.	Một anh chàng đang làm việc trên một tòa nhà.
A man in a vest is sitting in a chair and holding magazines.	Một người đàn ông mặc áo vest đang ngồi trên ghế và cầm tạp chí.	Một người đàn ông mặc áo vest đang ngồi trên ghế và cầm tạp chí.
A mother and her young song enjoying a beautiful day outside.	Một người mẹ và đứa con đang hát một ngày đẹp trời bên ngoài.	Một bà mẹ và đứa con nhỏ của mình đang tận hưởng một ngày đẹp trời ở bên ngoài.
Men playing volleyball, with one player missing the ball but hands still in the air.	Đàn ông chơi đùa, với một người trượt bóng nhưng tay vẫn còn trong không trung.	Những người đàn ông đang chơi bóng chuyền, có một cầu thủ mất bóng nhưng tay vẫn giơ lên ​​cao.
A woman holding a bowl of food in a kitchen.	Một người phụ nữ đang cầm một bát thức ăn trong nhà bếp.	Một người phụ nữ đang cầm bát thức ăn trong bếp.
Man sitting using tool at a table in his home.	Người đàn ông ngồi bằng cách sử dụng công cụ tại một bảng trong nhà của mình.	Người đàn ông đang ngồi sử dụng dụng cụ tại một chiếc bàn trong nhà mình.
Three people sit in a cave.	Ba người ngồi trong một cái hang.	Ba người ngồi trong một hang động.
A girl in a jean dress is walking along a raised balance beam.	Một cô gái mặc váy hồng đang bước đi trên một cái cân bằng.	Một cô gái mặc váy jean đang đi dọc theo một thanh xà thăng bằng được nâng lên.
A blond holding hands with a guy in the sand.	Một cô gái tóc vàng cầm tay với một gã trên cát.	Một cô gái tóc vàng nắm tay một chàng trai trên bãi cát.
A woman in a gray sweater and black baseball cap is standing in line at a shop.	Một người phụ nữ mặc áo len màu xám và đội mũ bóng chày đen đứng xếp hàng tại một cửa hàng.	Một người phụ nữ mặc áo len xám và mũ bóng chày đen đang đứng xếp hàng tại một cửa hàng.
The person in the striped shirt is mountain climbing.	Người mặc áo sọc là leo núi.	Người mặc áo sọc đang leo núi.
Two men pretend to be statutes while women look on.	Hai người đàn ông giả bộ trong khi phụ nữ nhìn vào.	Hai người đàn ông giả vờ làm tượng trong khi những người phụ nữ đứng nhìn.
People standing outside of a building.	Những người đứng bên ngoài tòa nhà.	Mọi người đứng bên ngoài tòa nhà.
A teenager plays her trumpet on the field at a game.	Một thiếu niên thổi kèn trên sân trong một trò chơi.	Một thiếu nữ đang chơi kèn trumpet trên sân trong một trận đấu.
A woman does a somersault on a trampoline on the beach.	Một người phụ nữ làm một cái bẫy trên bãi biển.	Một người phụ nữ đang lộn nhào trên tấm bạt lò xo trên bãi biển.
A man is standing by a group of video games in a bar.	Một người đàn ông đang đứng cạnh một nhóm trò chơi điện tử trong một quán bar.	Một người đàn ông đang đứng cạnh một nhóm trò chơi điện tử trong quán bar.
A woman uses a drill while another man takes her picture.	Một phụ nữ luyện tập trong khi một người đàn ông khác chụp ảnh cô ấy.	Một người phụ nữ sử dụng máy khoan trong khi một người đàn ông khác chụp ảnh cô ấy.
A woman in a pink sweater and an apron, cleaning a table with a sponge.	Một người phụ nữ mặc áo len màu hồng và một cái băng dính, dọn dẹp một cái bàn với một cái bàn cao su.	Một người phụ nữ mặc áo len hồng và tạp dề, đang lau bàn bằng miếng bọt biển.
A man cutting branches of trees.	Một người cắt tỉa những nhánh cây.	Một người đàn ông đang cắt cành cây.
Group of Asian boys wait for meat to cook over barbecue.	Một đám nhóc Châu Á đang chờ thịt để ăn thịt nướng.	Một nhóm thanh niên châu Á đang chờ thịt nướng chín.
